"LAName","Region","AB","C1","C2","DE","ConVote","LabVote","LDVote","UKIPVote","GreenVote","Leave"
"East Northamptonshire","East Midlands",0.232874635126426,0.301148640964404,0.24906175366769,0.21691497024148,0.467636516658453,0.303342245921707,0.0338784946877779,0.162305083383874,0.0328376593481879,0.5876
"East Riding of Yorkshire","Yorkshire and The Humber",0.224274677406098,0.303967699515082,0.246578860853127,0.225178762225692,0.500097205879619,0.23575773274599,0.0564995712884448,0.162505671316711,0.0338247801238008,0.604
"East Staffordshire","West Midlands",0.200173085244483,0.260637530650512,0.224722342420309,0.314467041684696,0.506839361217921,0.265176975369858,0.0279519792387017,0.17349627678844,0.0262826945728833,0.6321
"Eastbourne","South East",0.187080120461992,0.33209782572724,0.219412913260747,0.261409140550022,0.395675430472338,0.0783072183264974,0.381820931067723,0.11603379514998,0.0255353733910447,0.5733
"Eastleigh","South East",0.269544501126447,0.326773182795142,0.223528497811845,0.180153818266567,0.44553207649586,0.121140821433988,0.25548908000169,0.143244516350633,0.03094041257031,0.5245
"Eden","North West",0.198699794026777,0.25437693099897,0.316941297631308,0.229981977342945,0.596571116322488,0.143621502242663,0.0852667288996152,0.121877917169463,0.0526627353657704,0.5332
"Elmbridge","South East",0.440290250366673,0.317782981241798,0.128862928749711,0.113063839641819,0.624309781199646,0.131172931329197,0.0901702728178587,0.103717288033522,0.0413398362898346,0.4047
"Enfield","London",0.216138084396675,0.321141525917298,0.172245459840102,0.290474929845926,0.387727235214237,0.475897874511393,0.0260640572598978,0.0720850495547203,0.0326438437356982,0.4418
"Epping Forest","East",0.25473321858864,0.362951807228916,0.20223752151463,0.180077452667814,0.550467319190286,0.165343871525747,0.0694034711057167,0.179110821508131,0.0333786256792558,0.6269
"Epsom & Ewell","South East",0.34269298489482,0.351959966638866,0.170512464090446,0.134834584375869,0.582906042734893,0.15515461211347,0.0875347811630471,0.124547188632028,0.0370299074252314,0.4792
"Erewash","East Midlands",0.179764851485149,0.291854185418542,0.258157065706571,0.270223897389739,0.442548322696483,0.336757900340916,0.0365522710712315,0.157144395014203,0.0269971108771667,0.6123
"Exeter","South West",0.224353062442359,0.347990017902675,0.192372375630662,0.235284544024304,0.346289919832693,0.422393638638202,0.0458309831344821,0.0975811157144477,NA,0.4472
"Fareham","South East",0.293238234652879,0.351979319151587,0.200735042202635,0.154047403992899,0.560150737790013,0.142900483108317,0.0858929174445397,0.158591564641037,0.0385720315744122,0.551
"Fenland","East",0.129969965675057,0.264445080091533,0.273526887871854,0.332058066361556,0.550869061413673,0.144380069524913,0.0446890691386636,0.22499034376207,0.0350714561606798,0.7139
"Flintshire","Wales",0.18307121013543,0.275578855395369,0.254215814766273,0.287134119702927,0.323139226365033,0.402775132980412,0.0395196201647815,0.170240316867883,0.0210229653044902,0.5637
"Forest Heath","East",0.153574068208215,0.366328793158061,0.245961355717453,0.234135782916271,0.521693207669808,0.174764380890478,0.0500690607734807,0.217338316542086,0.0361350341241469,0.6497
"Forest of Dean","South West",0.202832422194481,0.272093323576256,0.277258835177134,0.247815419052129,0.468315831987076,0.246445880452342,0.0531098546042003,0.177544426494346,0.0545840064620355,0.5858
"Fylde","North West",0.275691309873351,0.338314562426048,0.17625662824839,0.209737499452211,0.491447987694286,0.187845811235852,0.0372615193883876,0.127855453773217,0.0317055811924605,0.5696
"Gedling","East Midlands",0.216066404051773,0.331963984243106,0.231119864940912,0.220849746764209,0.377870069161601,0.410853719010038,0.0362660303859813,0.144677640564787,0.0300403044449672,0.5555
"Gloucester","South West",0.175374782405363,0.319753695861155,0.23596352204526,0.268907999688223,0.461669180738854,0.300400104530997,0.0613658851410878,0.141352331848989,0.0292937994872299,0.585
"Gosport","South East",0.165726564598442,0.343770384866275,0.239208011971912,0.251295038563371,0.553110248610091,0.145305779922375,0.0691912304626036,0.194398405538655,0.0358124409944404,0.6386
"Gravesham","South East",0.171271643390602,0.296393047322415,0.250644696741351,0.281690612545631,0.468377909411835,0.301441991264285,0.0221583996489758,0.185604020822115,0.0224176788527892,0.6538
"Great Yarmouth","East",0.112350124095501,0.277659314153878,0.254518124934457,0.355472436816164,0.429265330904675,0.290876790573208,0.0231622028829072,0.230947401560638,0.0219928489509546,0.715
"Greenwich","London",0.247035786792883,0.316735341109763,0.179126172771284,0.257102699326069,0.305827699536465,0.480017137483953,0.0400352331070801,0.126099457442252,0.0427328128761727,0.4441
"Guildford","South East",0.379673945557882,0.323935586798285,0.161357064512913,0.13503340313092,0.580965727913233,0.114260500305536,0.142130843420122,0.10170975739264,0.0478929321812051,0.4383
"Gwynedd","Wales",0.177412963487121,0.290716105292952,0.259949051797339,0.271921879422587,0.180645739910314,0.215713004484305,0.0335605381165919,0.096914798206278,NA,0.4195
"Hackney","London",0.266675666857921,0.332455814686062,0.12524891153937,0.275619606916647,0.141268326715709,0.636010136764238,0.0479957318887418,0.0297844398616968,0.131326500251367,0.2152
"Halton","North West",0.137016275753553,0.28871023258101,0.214412155185131,0.359861336480307,0.231330945188388,0.583277775568564,0.025503592859192,0.131461660714942,0.0231477464966519,0.5742
"Hambleton","Yorkshire and The Humber",0.26600579891858,0.307930412977039,0.231721651908158,0.194342136196223,0.518646943161615,0.140885290034846,0.0743559794137956,0.150673405045641,0.0440555553317416,0.5366
"Hammersmith & Fulham","London",0.379175711309567,0.338995644002855,0.101295144301511,0.180533500386067,0.449078365839509,0.413953981184947,0.0481678424409084,0.0460671268397424,0.0415703165536411,0.2998
"Harborough","East Midlands",0.313666975843852,0.321450175424446,0.20647658991007,0.158406258821632,0.533519450854668,0.174883840942078,0.106357375098846,0.155715845326371,NA,0.5075
"Haringey","London",0.279183003134289,0.314666389091288,0.137665822374889,0.268484785399535,0.104013234605304,0.578724973341439,0.200462413920254,0.027734869397965,0.0705280886559102,0.2443
"Harlow","East",0.149145282802402,0.317870664270144,0.244177597613675,0.288806455313779,0.488644324422047,0.299948023773474,0.0204289168606359,0.162888974260469,0.0215588348285914,0.681
"Harrogate","Yorkshire and The Humber",0.299491202035192,0.322047911808353,0.199788000847997,0.178672885308459,0.534891886999302,0.135532843145692,0.164198459675873,0.118747562266284,0.0464173539053508,0.4903
"Harrow","London",0.322943505310124,0.307107396468296,0.164268208383083,0.205680889838497,0.483637074366849,0.401777414795642,0.0305797296649186,0.0553308318132774,0.0244420005258551,0.4537
"Hart","South East",0.404532729991947,0.323081642827012,0.16520305249837,0.107182574682671,0.639070326051896,0.108959575172505,0.102631510060111,0.0993577898082945,0.0437857558907917,0.476
"Hartlepool","North East",0.127186062904904,0.256050485045819,0.238394145882985,0.378369306166292,0.209065586224361,0.356444669536592,0.0192707014434034,0.279868321093948,0.0339579640415295,0.6957
"Hastings","South East",0.150526179869585,0.313093162889793,0.228710697914649,0.307669959325973,0.445461150273922,0.351287136489485,0.0316924224870894,0.133249553282149,0.0383097374673552,0.5488
"Havant","South East",0.19986192613048,0.28572661373835,0.24548383385111,0.26892762628006,0.541781145540593,0.146058388307133,0.0736632260705959,0.190598783187195,0.0478984568944836,0.6236
"Havering","London",0.188745027124774,0.358871609403255,0.236904159132007,0.215479204339964,0.465410204786267,0.232345653703008,0.0264218237755005,0.248769753172612,0.0243591278630335,0.6966
"Herefordshire","West Midlands",0.207803255136954,0.275098769399444,0.262452505623712,0.25464546983989,0.541141897565071,0.120906801007557,0.113035264483627,0.154009235936188,0.0709068010075567,0.5922
"Hertsmere","East",0.288274062886173,0.351194562680214,0.182514073870658,0.178017300562955,0.592841029326626,0.224291788944122,0.0554391008364776,0.127428080892775,NA,0.5084
"High Peak","East Midlands",0.243703080053322,0.285939802146916,0.236195888584859,0.234161229214902,0.449624918781626,0.353265470869677,0.047037744393471,0.114414538581189,0.0356573273740377,0.5055
"Hillingdon","London",0.223902590352102,0.343169949847474,0.214841528359444,0.21808593144098,0.435716870845801,0.366797351946378,0.0386779314372207,0.124684290513446,0.0274990754795744,0.5637
"Hinckley & Bosworth","East Midlands",0.223246725490795,0.314230757487864,0.238359844899704,0.224162672121638,0.435428963835388,0.177410222377693,0.213237509554973,0.173327869200653,NA,0.6033
"Horsham","South East",0.324904952867038,0.33698765689287,0.194859642726941,0.14324774751315,0.585704871650676,0.113375216930829,0.100560732962418,0.141576378292451,0.0477328461823113,0.4854
"Hounslow","London",0.254188897644916,0.317619853501621,0.188238789773535,0.239952459079928,0.365427126264519,0.477154364930686,0.0363806669164481,0.0881603596852754,0.0328774822030723,0.4894
"Huntingdonshire","East",0.264955283846169,0.327055687547082,0.215043170887176,0.192945857719573,0.52838792492471,0.181742447413747,0.070979135874293,0.180116140573166,0.0377154611290203,0.5424
"Hyndburn","North West",0.132104813000544,0.271246403856621,0.253946038410699,0.342702744732136,0.318884510457714,0.421479702473943,0.0200293795322592,0.213444633571945,0.0261617739641383,0.6619
"Ipswich","East",0.171901731335113,0.281895116220717,0.230411277629508,0.315791874814663,0.471644340424281,0.331934141169665,0.0356829747753576,0.121549537020936,0.0385505443683839,0.5826
"Isle of Anglesey","Wales",0.173463839042958,0.277769538780958,0.258045380394483,0.290721241781601,0.211676115215026,0.311258088530035,0.02150260550879,0.146624291358873,NA,0.5094
"Isle of Wight","South East",0.182135415359124,0.294127984334597,0.248387015790927,0.275349584515352,0.406699857752489,0.127795163584637,0.0744665718349929,0.211778093883357,0.133769559032717,0.6195
"Isles of Scilly","South West",0.17629179331307,0.314589665653495,0.328267477203647,0.180851063829787,0.382741347905282,0.093351548269581,0.331636032455705,0.1183970856102,0.0631520119225037,0.4361
"Islington","London",0.353925881738871,0.331531330002734,0.09971913603261,0.214823652225785,0.195756331279945,0.558329055441478,0.09425265229295,0.0571740246406571,0.0899854551676934,0.2478
"Kensington & Chelsea","London",0.442573475925897,0.339049417299924,0.0702025908098989,0.14817451596428,0.558498216726292,0.284292173277705,0.054870575500749,0.0467170136647904,0.0459590439517011,0.3131
"Kettering","East Midlands",0.203823362014128,0.295055073822358,0.243864876627942,0.257256687535572,0.518171036469143,0.251535431403278,0.0315557626328942,0.160955567791944,0.0345842687110847,0.6099
"King's Lynn & West Norfolk","East",0.159554865926393,0.275493381176357,0.266037918828492,0.298913834068758,0.51754276980131,0.208480869533278,0.0384138332719042,0.19665683657969,0.0389056908138184,0.664
"Kingston-upon-Hull","Yorkshire and The Humber",0.102705222819845,0.261538986365859,0.236681411400826,0.39907437941347,0.160131380734007,0.514363294964955,0.0835853517384531,0.194705246526758,0.0377346797339675,0.6762
"Kingston upon Thames","London",0.36856131418798,0.346823913129947,0.137763016586452,0.146851756095621,0.443736338687482,0.13894847304537,0.303436315842925,0.0644694669982253,0.0448307960810643,0.3839
"Kirklees","Yorkshire and The Humber",0.19220666167779,0.29132240871119,0.217665205638449,0.298805723972571,0.361547666929842,0.40859638407643,0.0501124700204085,0.136111069731413,0.0363230993063107,0.5467
"Knowsley","North West",0.11045347532399,0.277057801051728,0.220136856696517,0.392351866927765,0.0899931173787887,0.741419192747373,0.035804617273278,0.103283892568472,0.0294991800320885,0.5156
"Lambeth","London",0.321150226069211,0.329005471402685,0.128419626677926,0.221424675850179,0.252546097077187,0.535660123490367,0.0846165678485696,0.0307149287826726,0.0856236848456839,0.2138
"Lancaster","North West",0.210247306859908,0.30048877756973,0.229968630693286,0.259295284877076,0.432491286634621,0.375918936842406,0.0358342300769908,0.114231162144041,0.038758280827327,0.5108
"Leeds","Yorkshire and The Humber",0.222751960393137,0.326996832428119,0.190408527201218,0.259842679977526,0.315335871423199,0.425561953151646,0.0799052606086638,0.125926420553279,0.0482640937986446,0.4969
