"","LAName","Region","AB","C1","C2","DE","ConVote","LabVote","LDVote","UKIPVote","GreenVote","Leave","control","elected.Independent","elected.Conservative","elected.Labour","elected.UK Independence Party","total.Independent","total.Conservative","total.Labour","total.UK Independence Party","change.Independent","change.Conservative","change.Labour","change.UK Independence Party","elected.Green","total.Green","change.Green","elected.Liberal Democrat","total.Liberal Democrat","change.Liberal Democrat","elected.Residents' Association","total.Residents' Association","change.Residents' Association","elected.Liberal Party","total.Liberal Party","change.Liberal Party","elected.Independent Community & Health Concern","total.Independent Community & Health Concern","change.Independent Community & Health Concern"
"36","Canterbury","South East",0.246842628068682,0.348659003831418,0.200321649874651,0.20417671822525,0.44601565214598,0.226462998655447,0.0933131844515865,0.170638970186763,0.0605386804456761,0.5104,"CON HOLD",0,23,10,0,0,23,10,0,0,-8,7,-2,0,0,0,6,6,3,0,0,0,0,0,0,0,0,0
"37","Carlisle","North West",0.156562616447387,0.273683607074268,0.250695101327142,0.319058675151202,0.476025827642915,0.327812876893473,0.0383220357228419,0.123475522050178,0.032038879043099,0.6014,"NOC NO CHANGE",4,17,15,1,4,17,15,1,4,-1,-6,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
"38","Castle Point","East",0.165121981630024,0.337849632184863,0.274884668135156,0.222143718049956,0.508514851485149,0.138239823982398,0.0176237623762376,0.311947194719472,0.0236743674367437,0.727,"CON HOLD",6,8,0,0,16,25,0,0,2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"39","Central Bedfordshire","East",0.260539682945865,0.329797714855995,0.229601955039216,0.180060647158924,0.558748404843051,0.181671782207083,0.0612008190399009,0.151784632017408,0.041786914025154,0.5613,"CON HOLD",13,41,1,1,13,41,1,1,10,-12,-1,1,0,0,0,3,3,2,0,0,0,0,0,0,0,0,0
"40","Charnwood","East Midlands",0.241464864975702,0.321884803871312,0.225983719165864,0.210666611987123,0.515224526738274,0.277142727615987,0.0526497123643939,0.13041632794561,0,0.5381,"CON HOLD",1,37,13,0,1,37,13,0,0,-4,4,0,1,1,1,0,0,-1,0,0,0,0,0,0,0,0,0
"41","Chelmsford","East",0.289668866436956,0.348653857384804,0.190951741322588,0.170725534855652,0.54571550557232,0.153700566234872,0.0986533036877682,0.142661182368425,0.0345698145748873,0.5283,"LD GAIN FROM CON",5,21,0,0,5,21,0,0,5,-31,0,0,0,0,0,31,31,26,0,0,0,0,0,0,0,0,0
"42","Cherwell","South East",0.254604019326378,0.309945615386411,0.21765515953598,0.217795205751231,0.522131630472201,0.196916945707838,0.0942401945433374,0.127596129443938,0.0469331208179392,0.5031,"CON HOLD",2,9,3,0,4,32,9,0,2,-4,0,0,1,1,1,2,2,1,0,0,0,0,0,0,0,0,0
"43","Cheshire East","North West",0.29747729028477,0.299848157915768,0.189633891863573,0.213040659935889,0.517442096903051,0.252768304264681,0.0699892597766082,0.129144507940501,0,0.5118,"CON LOSE TO NOC",14,34,25,0,14,34,25,0,5,-19,9,0,0,0,0,4,4,2,5,5,3,0,0,0,0,0,0
"44","Cheshire West & Chester","North West",0.257822873109926,0.294702839816888,0.197746774736926,0.24972751233626,0.435481575242688,0.383154736236201,0.0543623380591213,0.104224412305218,0,0.5068,"LAB LOSE TO NOC",5,27,35,0,4,28,35,0,3,-7,1,0,1,1,1,2,2,2,0,0,0,0,0,0,0,0,0
"45","Chesterfield","East Midlands",0.165711076959451,0.286676912164558,0.23684832722544,0.31076368365055,0.200614452294064,0.471275397724747,0.127945561949921,0.164460684299002,0.0288582652303587,0.6004,"LAB HOLD",3,0,28,0,3,0,28,0,3,0,-10,-1,0,0,0,17,17,8,0,0,0,0,0,0,0,0,0
"46","Chichester","South East",0.287987371744278,0.314885556432518,0.211049723756906,0.186077348066298,0.579373841423001,0.1205373489482,0.0840157704503353,0.149026609699882,0.065349517921726,0.5092,"CON LOSE TO NOC",3,18,2,0,3,18,2,0,0,-13,2,0,2,2,2,11,11,9,0,0,0,0,0,0,0,0,0
"47","Chorley","North West",0.242109384411517,0.307523189977111,0.224129622936996,0.226237802674377,0.374905417747129,0.4395575151872,0.0282332248922041,0.135906782000312,0,0.5683,"LAB HOLD",0,2,13,0,2,8,37,0,0,-5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48","Colchester","East",0.233656512272736,0.347786441371867,0.204849545006234,0.213707501349164,0.450400135602081,0.169858481388874,0.189168909256197,0.14081166882044,0.0481654815959228,0.536,"NOC NO CHANGE",1,6,3,0,3,23,11,0,0,-1,0,0,1,1,1,6,13,0,0,0,0,0,0,0,0,0,0
"49","Copeland","North West",0.176055688733174,0.254748294302047,0.251106398672322,0.318089618292458,0.357952108198128,0.422648936438646,0.0345184325401832,0.155131084252227,0.0297494385708158,0.62,"LAB HOLD",4,10,19,0,4,10,19,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
